Pos: ?{E6POS: X 444.3829, Y -175.1201, Z 890.8592, A -63.72294, B 18.89375, C -55.41855, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 1018
Pos: ?{E6POS: X 444.3829, Y -175.1201, Z 890.8592, A -63.75452, B 18.70575, C -55.51654, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 2005
Pos: ?{E6POS: X 444.3829, Y -175.1200, Z 890.8594, A -65.22543, B 1.730111, C -63.70367, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 2999
Pos: ?{E6POS: X 444.3829, Y -175.1199, Z 890.8593, A -62.51746, B -24.81816, C -76.81870, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 3997
Pos: ?{E6POS: X 444.3829, Y -175.1199, Z 890.8591, A -49.76112, B -49.57801, C -97.29272, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 5011
Pos: ?{E6POS: X 444.3829, Y -175.1200, Z 890.8590, A -7.738130, B -64.99431, C -145.9748, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 6007
Pos: ?{E6POS: X 444.3829, Y -175.1201, Z 890.8589, A 43.13820, B -54.96959, C 156.6472, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 7001
Pos: ?{E6POS: X 444.3829, Y -175.1202, Z 890.8589, A 60.52356, B -31.65440, C 132.0199, S 2, T 10, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 7991
Pos: ?{E6POS: X 444.3828, Y -175.1205, Z 890.8589, A 65.10340, B -5.752474, C 118.1614, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 8977
Pos: ?{E6POS: X 444.3826, Y -175.1208, Z 890.8591, A 63.44594, B 20.45138, C 105.5929, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 9969
Pos: ?{E6POS: X 444.3820, Y -175.1222, Z 890.8593, A 54.33725, B 44.07263, C 88.97369, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 10954
Pos: ?{E6POS: X 444.3828, Y -175.1202, Z 890.8592, A 28.33600, B 61.58337, C 57.01179, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 11957
